Kenya Drug Retention No,Kenya Drug in SBD Version ,Kenya Drug in SCD or PSN Version ,Corresponding RXCUI,,,,,,,
3328,Penamox 250 MG Oral Capsule ,amoxicillin 250 MG Oral Capsule ,SCD-308182,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3328','Penamox 250 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3328','Penamox 250 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3328','SCD-308182')"
3333,Penamox 250 MG in 5 ML Oral Suspension ,amoxicillin 250 MG in 5 ML Oral Suspension ,SCD-239191,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3333','Penamox 250 MG in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3333','Penamox 250 MG in 5 ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3333','SCD-239191')"
3329,Penamox 500 MG Oral Capsule ,amoxicillin 500 MG Oral Capsule ,SCD-308191,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3329','Penamox 500 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3329','Penamox 500 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3329','SCD-308191')"
3146,Amoxi-Denk 500 MG Oral Tablet ,amoxicillin 500 MG Oral Tablet ,SCD-308192,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3146','Amoxi-Denk 500 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3146','Amoxi-Denk 500 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3146','SCD-308192')"
241,Curam 1000 MG Oral Tablet ,amoxicillin 875 MG / clavulanate potassium 125 MG Oral Tablet ,SCD-562508,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI241','Curam 1000 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB241','Curam 1000 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE241','SCD-562508')"
267,Curam 156.25 MG in 5 ML ,amoxicillin 125 MG / clavulanic acid 31.25 MG in 5 ML Oral Suspension ,SCD-617302,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI267','Curam 156.25 MG in 5 ML',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB267','Curam 156.25 MG in 5 ML','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE267','SCD-617302')"
6014,Fleming 228.5 MG in 5 ML Oral Suspension ,amoxicillin 200 MG / clavulanic acid 28.5 MG in 5 ML Oral Suspension ,SCD-617423,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI6014','Fleming 228.5 MG in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB6014','Fleming 228.5 MG in 5 ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE6014','SCD-617423')"
2806,Clavulin 228.5 MG in 5 ML Oral Suspension ,amoxicillin 200 MG / clavulanic acid 28.5 MG in 5 ML Oral Suspension ,SCD-617423,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2806','Clavulin 228.5 MG in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2806','Clavulin 228.5 MG in 5 ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2806','SCD-617423')"
2759,Augmentin 375 MG Oral Tablet ,amoxicillin 250 MG / clavulanate potassium 125 MG Oral Tablet ,SCD-562251,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2759','Augmentin 375 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2759','Augmentin 375 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2759','SCD-562251')"
1754,Koact 312.5 MG in 5 ML Oral  Suspension ,amoxicillin 250 MG / clavulanic acid 62.5 MG in 5 ML Oral Suspension ,SCD-617322,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1754','Koact 312.5 MG in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1754','Koact 312.5 MG in 5 ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1754','SCD-617322')"
2758,Augmentin 312 MG in 5 ML Oral Suspension ,amoxicillin 250 MG / clavulanic acid 62.5 MG in 5 ML Oral Suspension ,SCD-617322,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2758','Augmentin 312 MG in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2758','Augmentin 312 MG in 5 ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2758','SCD-617322')"
2802,Clavulin 400 MG / 57 MG in 5 ML Oral Suspension ,amoxicillin 400 MG / clavulanic acid 57 MG in 5 ML Oral Suspension ,SCD-617430,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2802','Clavulin 400 MG / 57 MG in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2802','Clavulin 400 MG / 57 MG in 5 ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2802','SCD-617430')"
2761,Augmentin 625 MG Oral Tablet ,amoxicillin 500 MG / clavulanate potassium 125 MG Oral Tablet ,SCD-617296,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2761','Augmentin 625 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2761','Augmentin 625 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2761','SCD-617296')"
2810,Clavulin 625 MG Oral Tablet ,amoxicillin 500 MG / clavulanate potassium 125 MG Oral Tablet ,SCD-617296,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2810','Clavulin 625 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2810','Clavulin 625 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2810','SCD-617296')"
2739,Augmentin ES 600/42.9 MG in 5 ML Powder for Oral Suspension ,amoxicillin 600 MG / clavulanate potassium 42.9 MG Oral Tablet ,SCD-617993,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2739','Augmentin ES 600/42.9 MG in 5 ML Powder for Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2739','Augmentin ES 600/42.9 MG in 5 ML Powder for Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2739','SCD-617993')"
237,Curam 625 MG Oral Tablet ,amoxicillin 500 MG / clavulanate potassium 125 MG Oral Tablet ,SCD-617296,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI237','Curam 625 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB237','Curam 625 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE237','SCD-617296')"
2812,Clavulin 1000 MG (Amoxicillin 875 MG / Clavulanate Potassium 125 MG) Oral Tablet ,amoxicillin 875 MG / clavulanate potassium 125 MG Oral Tablet ,SCD-562508,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2812','Clavulin 1000 MG (Amoxicillin 875 MG / Clavulanate Potassium 125 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2812','Clavulin 1000 MG (Amoxicillin 875 MG / Clavulanate Potassium 125 MG) Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2812','SCD-562508')"
424,Buscopan 20 MG/ML Solution for Injection ,hyoscine butylbromide 20 MG/ML Solution for Injection ,SCD-1094495,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI424','Buscopan 20 MG/ML Solution for Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB424','Buscopan 20 MG/ML Solution for Injection','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE424','SCD-1094495')"
429,Buscopan 10 MG Oral Tablet ,hyoscine butylbromide 10 MG Oral Tablet ,SCD-199442,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI429','Buscopan 10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB429','Buscopan 10 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE429','SCD-199442')"
5399,INTRAcef 500 MG Oral Capsule ,cephradine 500 MG Oral Capsule ,SCD-197456,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5399','INTRAcef 500 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5399','INTRAcef 500 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5399','SCD-197456')"
7293,Cefacure 250 MG Oral Capsule ,cephalexin 250 MG Oral Capsule ,SCD-309112,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7293','Cefacure 250 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7293','Cefacure 250 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7293','SCD-309112')"
7292,Cefacure 500 MG Oral Capsule,cefalexin 500 MG Oral Capsule ,SCD-309114,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7292','Cefacure 500 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7292','Cefacure 500 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7292','SCD-309114')"
245,Biodroxil 500 MG Oral Capsule ,cefadroxil 500 MG Oral Capsule ,SCD-309049,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI245','Biodroxil 500 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB245','Biodroxil 500 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE245','SCD-309049')"
644,Vedrox 500 MG Oral Capsule ,cefadroxil 500 MG Oral Capsule ,SCD-309049,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI644','Vedrox 500 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB644','Vedrox 500 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE644','SCD-309049')"
11911,Levo-Denk 250 MG Oral Tablet ,levofloxacin 250 MG Oral Tablet ,SCD-199884,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11911','Levo-Denk 250 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11911','Levo-Denk 250 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11911','SCD-199884')"
246,Biodroxil 1000 MG Oral Tablet ,cefadroxil 1000 MG Oral Tablet ,SCD-309047,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI246','Biodroxil 1000 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB246','Biodroxil 1000 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE246','SCD-309047')"
14362,Actidrox 250 MG in 5 ML Oral Suspension ,cefadroxil 250 MG in 5 ML Oral Suspension ,SCD-309048,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI14362','Actidrox 250 MG in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB14362','Actidrox 250 MG in 5 ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE14362','SCD-309048')"
5931,Tavanic 500 MG Oral Tablet ,levofloxacin 500 MG Oral Tablet ,SCD-199885,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5931','Tavanic 500 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5931','Tavanic 500 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5931','SCD-199885')"
6112,Levobact-750 MG Oral Tablet ,levofloxacin 750 MG Oral Tablet ,SCD-311296,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI6112','Levobact-750 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB6112','Levobact-750 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE6112','SCD-311296')"
13784,Levotop 0.5 % Ophthalmic Solution ,levofloxacin 0.5 % Ophthalmic Solution ,SCD-314080,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI13784','Levotop 0.5 % Ophthalmic Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB13784','Levotop 0.5 % Ophthalmic Solution','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE13784','SCD-314080')"
13778,Levotop-PF 1.5 % Ophthalmic Solution ,levofloxacin 1.5 % Ophthalmic Solution ,SCD-545118,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI13778','Levotop-PF 1.5 % Ophthalmic Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB13778','Levotop-PF 1.5 % Ophthalmic Solution','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE13778','SCD-545118')"
5120,Zithromax 200 MG in 5 ML ,azithromycin 200 MG in 5 ML Oral Suspension,SCD-141963,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5120','Zithromax 200 MG in 5 ML',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5120','Zithromax 200 MG in 5 ML','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5120','SCD-141963')"
511,ATM-250 MG Oral Tablet ,azithromycin 250 MG Oral Tablet ,SCD-308460,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI511','ATM-250 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB511','ATM-250 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE511','SCD-308460')"
3363,Zetro 500 MG Oral Tablet ,azithromycin 500 MG Oral Tablet ,PSN-248656,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3363','Zetro 500 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3363','Zetro 500 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3363','azithromycin 500 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3363','PSN-248656')"
4991,Clindar-T Plus Topical Gel ,clindamycin phosphate 1.2 % / tretinoin 0.025 % Topical Gel,SCD-882548,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4991','Clindar-T Plus Topical Gel',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4991','Clindar-T Plus Topical Gel','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4991','SCD-882548')"
5642,Clindar-T 1% Topical Gel,clindamycin phosphate 1 % Topical Gel,SCD-309332,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5642','Clindar-T 1% Topical Gel',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5642','Clindar-T 1% Topical Gel','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5642','SCD-309332')"
6493,Klenzit 0.1 % Topical Gel ,adapalene 0.1 % Topical Gel ,SCD-307731,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI6493','Klenzit 0.1 % Topical Gel',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB6493','Klenzit 0.1 % Topical Gel','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE6493','SCD-307731')"
3307,Dalacin C 75 MG in 5 ML Granules for Oral Suspension ,clindamycin palmitate HCL  75 MG in 5 mL Oral Solution,SCD-562266,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3307','Dalacin C 75 MG in 5 ML Granules for Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3307','Dalacin C 75 MG in 5 ML Granules for Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3307','SCD-562266')"
2565,Dalacin C 150 MG Oral Capsule ,clindamycin HCL  150 MG Oral Capsule,SCD-197518,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2565','Dalacin C 150 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2565','Dalacin C 150 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2565','SCD-197518')"
2567,Dalacin C 300 MG Oral Capsule ,clindamycin HCL  300 MG Oral Capsule,SCD-284215,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2567','Dalacin C 300 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2567','Dalacin C 300 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2567','SCD-284215')"
5293,Clindar-V  2 % Vaginal Cream ,clindamycin phosphate 2 % Vaginal Cream,SCD-309337,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5293','Clindar-V 2 % Vaginal Cream',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5293','Clindar-V 2 % Vaginal Cream','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5293','SCD-309337')"
4096,Zinnat 125 MG in 5 ML Oral Suspension ,cefuroxime axetil 125 MG in 5 ML Oral Suspension,SCD-309096,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4096','Zinnat 125 MG in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4096','Zinnat 125 MG in 5 ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4096','SCD-309096')"
4087,Zinnat 250 MG in 5 ML Oral Suspension ,cefuroxime axetil 250 MG in 5 ML Oral Suspension,SCD-313926,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4087','Zinnat 250 MG in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4087','Zinnat 250 MG in 5 ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4087','SCD-313926')"
